ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
135BFC5C07A25402,electric_bike,2024-06-11 15:21:58.080,2024-06-11 15:26:54.559,E 84 St & Park Ave,7243.04,E 89 St & York Ave,7204.08,40.77877295,-73.957976103,40.7779453,-73.946041,member
C6E8D1ED49E4200C,electric_bike,2024-06-02 19:31:24.120,2024-06-02 19:43:04.330,Metropolitan Ave & Bedford Ave,5308.04,Stockholm St & Wilson Ave,4824.03,40.71529603,-73.960001826,40.699304,-73.923044,member
32293B83ED6BDC4B,electric_bike,2024-06-03 18:58:21.359,2024-06-03 19:11:32.960,E 84 St & Park Ave,7243.04,W 84 St & Columbus Ave,7382.04,40.778864622,-73.957856894,40.78499979,-73.97283406,member
42C199B963CC6337,classic_bike,2024-06-09 15:34:30.882,2024-06-09 15:37:21.192,Fort Hamilton Pkwy & E 2 St,3280.04,Dahill Rd & 12 Ave,3208.07,40.648005,-73.979342,40.646037,-73.980963,member
3CF7AEC6B48FCBD8,electric_bike,2024-06-06 19:19:46.837,2024-06-06 19:24:37.786,31 St & Newtown Ave,6923.20,27 Ave & 3 St,7132.08,40.767476201,-73.921050072,40.77485,-73.9342,member
F0E3CBC63737AA56,electric_bike,2024-06-09 00:32:44.025,2024-06-09 00:36:20.854,McKibbin St & Manhattan Ave,4996.08,Powers St & Olive St,5210.01,40.705118299,-73.944079995,40.71323,-73.93894,member
E8D4CC3817EE1ED4,classic_bike,2024-06-06 15:34:14.134,2024-06-06 15:41:09.286,Central Park West & W 72 St,7141.07,W 87 St & West End Ave,7484.05,40.77579376683666,-73.9762057363987,40.789622,-73.97757,member
36473CFA817B3661,electric_bike,2024-06-05 15:59:11.769,2024-06-05 16:04:48.508,Central Park West & W 72 St,7141.07,W 87 St & West End Ave,7484.05,40.775984168,-73.975983381,40.789622,-73.97757,member
D30FDFA6DAB5ABCB,electric_bike,2024-06-08 12:11:35.256,2024-06-08 12:16:27.810,Metropolitan Ave & Bedford Ave,5308.04,Broadway & Berry St,5164.05,40.71531558,-73.960186124,40.71036129922581,-73.96530389785767,member
E4BE83C560A05E2D,classic_bike,2024-06-09 17:28:20.583,2024-06-09 17:34:26.779,Central Park West & W 72 St,7141.07,W 84 St & Columbus Ave,7382.04,40.77579376683666,-73.9762057363987,40.78499979,-73.97283406,member
